Region,global warming
Alabama,62
Alaska,91
Arizona,80
Arkansas,66
California,80
Colorado,82
Connecticut,82
Delaware,62
District of Columbia,100
Florida,71
Georgia,74
Hawaii,79
Idaho,68
Illinois,71
Indiana,72
Iowa,73
Kansas,70
Kentucky,73
Louisiana,79
Maine,74
Maryland,91
Massachusetts,70
Michigan,65
Minnesota,77
Mississippi,68
Missouri,62
Montana,69
Nebraska,78
Nevada,79
New Hampshire,67
New Jersey,74
New Mexico,98
New York,78
North Carolina,78
North Dakota,66
Ohio,65
Oklahoma,77
Oregon,87
Pennsylvania,67
Rhode Island,88
South Carolina,71
South Dakota,69
Tennessee,58
Texas,68
Utah,86
Vermont,97
Virginia,68
Washington,88
West Virginia,83
Wisconsin,60
Wyoming,56