State,K-12 Spending ($),Postsecondary Spending ($)
Alabama,"10,108","21,760"
Alaska,"18,392","27,266"
Arizona,"8,770","25,166"
Arkansas,"10,414","26,246"
California,"13,642","17,946"
Colorado,"11,070","25,203"
Connecticut,"21,146","20,284"
Delaware,"15,931","23,146"
District of Columbia,"22,832","27,142"
Florida,"9,983","23,834"
Georgia,"11,203","43,420"
Hawaii,"16,128","39,372"
Idaho,"8,041","27,760"
Illinois,"16,277","32,881"
Indiana,"10,256","41,705"
Iowa,"11,935","28,380"
Kansas,"11,327","25,958"
Kentucky,"11,278","27,277"
Louisiana,"11,917","30,196"
Maine,"15,691","30,293"
Maryland,"15,582","38,453"
Massachusetts,"19,193","18,813"
Michigan,"12,053","22,316"
Minnesota,"13,302","26,646"
Mississippi,"9,255","26,423"
Missouri,"11,349","27,160"
Montana,"11,983","25,055"
Nebraska,"12,741","24,316"
Nevada,"9,124","34,646"
New Hampshire,"17,456","36,914"
New Jersey,"21,334","32,421"
New Mexico,"10,469","38,516"
New York,"24,881","33,760"
North Carolina,"9,798","27,505"
North Dakota,"14,037","21,746"
Ohio,"13,437","31,465"
Oklahoma,"9,200","39,061"
Oregon,"12,460","33,289"
Pennsylvania,"16,897","18,141"
Rhode Island,"17,539","18,524"
South Carolina,"10,991","29,045"
South Dakota,"10,326","21,522"
Tennessee,"9,942","29,665"
Texas,"9,871","26,102"
Utah,"7,951","22,187"
Vermont,"21,219","31,103"
Virginia,"12,638","26,561"
Washington,"14,348","38,416"
West Virginia,"12,266","20,519"
Wisconsin,"12,694","40,038"
Wyoming,"16,231","33,111"